LSOA_code,Region,LA_Code,LA_Name,SS_pop,SSPTt,SSPT15n,SSPT30n,SSPT45n,SSPT60n,SSPT15pct,SSPT30pct,SSPT45pct,SSPT60pct,SSCyct,SSCyc15n,SSCyc30n,SSCyc45n,SSCyc60n,SSCyc15pct,SSCyc30pct,SSCyc45pct,SSCyc60pct,SSCart,SSCar15n,SSCar30n,SSCar45n,SSCar60n,SSCar15pct,SSCar30pct,SSCar45pct,SSCar60pct
E01027638,Yorkshire and The Humber,E07000165,Harrogate,51,29,0,1,5,8,0,63,100,100,17,0,5,6,6,0,100,100,100,13,2,7,10,10,100,100,100,100
E01027639,Yorkshire and The Humber,E07000165,Harrogate,71,31,0,0,5,6,0,0,100,100,18,0,5,6,6,0,100,100,100,14,2,6,10,10,100,100,100,100
E01027640,Yorkshire and The Humber,E07000165,Harrogate,74,27,0,2,6,9,0,100,100,100,15,1,5,6,6,54,100,100,100,12,4,7,10,10,100,100,100,100
E01027641,Yorkshire and The Humber,E07000165,Harrogate,76,32,0,0,5,7,0,11,100,100,18,0,5,6,6,0,100,100,100,14,2,7,10,10,100,100,100,100
E01027642,Yorkshire and The Humber,E07000165,Harrogate,91,37,0,0,2,4,0,0,100,100,38,0,0,4,7,0,0,100,100,19,0,10,10,10,0,100,100,100
E01027643,Yorkshire and The Humber,E07000165,Harrogate,88,39,0,1,1,3,0,28,49,100,31,0,1,2,6,0,28,100,100,17,1,9,10,10,28,100,100,100
E01027644,Yorkshire and The Humber,E07000165,Harrogate,87,11,1,1,2,6,59,100,100,100,10,1,1,1,4,100,100,100,100,8,1,10,10,10,100,100,100,100
E01027645,Yorkshire and The Humber,E07000165,Harrogate,74,16,1,1,2,6,57,100,100,100,11,1,1,1,4,100,100,100,100,9,1,10,10,10,100,100,100,100
E01027646,Yorkshire and The Humber,E07000165,Harrogate,116,29,0,2,3,6,0,81,93,93,25,0,1,4,8,0,81,100,100,15,1,10,10,10,81,100,100,100
E01027647,Yorkshire and The Humber,E07000165,Harrogate,92,33,0,1,2,5,0,58,84,84,25,0,1,2,5,20,100,100,100,12,1,10,10,10,100,100,100,100
E01027648,Yorkshire and The Humber,E07000165,Harrogate,116,18,1,5,7,10,35,100,100,100,12,3,6,6,8,100,100,100,100,10,4,8,10,10,100,100,100,100
E01027649,Yorkshire and The Humber,E07000165,Harrogate,89,14,0,4,7,10,40,100,100,100,10,3,6,6,7,100,100,100,100,8,4,8,10,10,100,100,100,100
E01027650,Yorkshire and The Humber,E07000165,Harrogate,115,22,0,5,7,10,0,100,100,100,12,3,6,6,8,100,100,100,100,10,4,8,10,10,100,100,100,100
E01027651,Yorkshire and The Humber,E07000165,Harrogate,110,19,0,4,7,10,0,100,100,100,11,3,6,6,8,100,100,100,100,10,4,8,10,10,100,100,100,100
E01027652,Yorkshire and The Humber,E07000165,Harrogate,89,18,1,3,6,10,62,100,100,100,12,2,5,6,6,73,100,100,100,10,5,7,10,10,100,100,100,100
E01027653,Yorkshire and The Humber,E07000165,Harrogate,84,12,1,2,5,9,71,100,100,100,10,2,5,6,6,100,100,100,100,9,5,8,10,10,100,100,100,100
E01027654,Yorkshire and The Humber,E07000165,Harrogate,93,32,0,1,4,7,0,59,100,100,16,0,5,6,6,20,100,100,100,13,3,7,10,10,100,100,100,100
E01027655,Yorkshire and The Humber,E07000165,Harrogate,97,22,0,4,7,10,0,100,100,100,13,2,5,6,6,100,100,100,100,11,5,7,10,10,100,100,100,100
E01027656,Yorkshire and The Humber,E07000165,Harrogate,48,13,1,6,8,10,79,100,100,100,9,4,6,6,6,100,100,100,100,8,5,7,10,10,100,100,100,100
E01027657,Yorkshire and The Humber,E07000165,Harrogate,59,19,0,4,6,10,0,100,100,100,13,2,5,6,6,100,100,100,100,11,4,6,10,10,100,100,100,100
E01027658,Yorkshire and The Humber,E07000165,Harrogate,71,11,1,5,7,10,100,100,100,100,10,2,6,6,6,100,100,100,100,9,4,6,10,10,100,100,100,100
E01027659,Yorkshire and The Humber,E07000165,Harrogate,49,14,1,5,7,10,82,100,100,100,11,4,6,6,6,100,100,100,100,9,4,6,10,10,100,100,100,100
E01027660,Yorkshire and The Humber,E07000165,Harrogate,92,12,2,5,7,10,100,100,100,100,10,2,6,6,7,100,100,100,100,8,4,9,10,10,100,100,100,100
E01027661,Yorkshire and The Humber,E07000165,Harrogate,71,14,1,3,7,9,63,100,100,100,12,1,6,6,7,73,100,100,100,10,4,9,10,10,100,100,100,100
